c1,c2,c3,c4,c5,c6,c7,c8,c9,label,y
0,0,0,1,0,0,0,0,-1,tem_jogo,2
0,0,0,-1,1,0,0,0,0,tem_jogo,2
1,0,-1,-1,-1,0,1,1,0,tem_jogo,2
-1,1,-1,-1,0,0,1,1,1,x_venceu,3
-1,-1,-1,1,0,0,1,0,1,o_venceu,1
1,-1,-1,1,-1,0,-1,1,1,o_venceu,1
1,0,1,-1,-1,-1,1,0,0,o_venceu,1
1,-1,-1,1,1,1,0,-1,0,x_venceu,3
0,-1,-1,1,-1,1,-1,1,1,o_venceu,1
-1,0,1,0,1,0,0,0,0,tem_jogo,2
0,1,0,-1,1,0,1,-1,0,tem_jogo,2
-1,1,0,-1,1,-1,1,1,0,x_venceu,3
-1,1,1,1,-1,-1,0,1,-1,o_venceu,1
1,1,-1,1,-1,0,1,0,-1,x_venceu,3
-1,1,1,-1,1,-1,-1,0,1,o_venceu,1
-1,-1,1,0,0,0,1,1,0,tem_jogo,2
0,1,1,1,1,-1,-1,-1,-1,o_venceu,1
-1,1,1,0,-1,0,0,1,-1,o_venceu,1
0,1,-1,0,0,1,0,1,-1,tem_jogo,2
-1,-1,1,-1,1,0,-1,1,1,o_venceu,1
-1,0,1,1,-1,0,0,1,-1,o_venceu,1
1,-1,-1,1,0,1,1,-1,0,x_venceu,3
-1,-1,0,-1,1,0,1,1,1,x_venceu,3
-1,-1,1,0,1,0,1,-1,1,x_venceu,3
1,-1,-1,1,0,-1,1,1,0,x_venceu,3
-1,1,-1,-1,1,0,0,1,1,x_venceu,3
0,-1,-1,-1,1,0,1,1,1,x_venceu,3
-1,0,0,-1,1,1,-1,1,0,o_venceu,1
-1,-1,1,1,1,1,0,-1,0,x_venceu,3
1,-1,1,0,0,-1,0,1,-1,tem_jogo,2
1,-1,1,-1,0,1,0,-1,1,x_venceu,3
0,1,0,-1,-1,-1,1,1,0,o_venceu,1
1,0,0,-1,-1,-1,0,1,1,o_venceu,1
-1,1,0,0,0,0,0,1,0,tem_jogo,2
1,1,-1,0,-1,1,-1,1,-1,o_venceu,1
0,-1,0,1,-1,1,1,-1,0,o_venceu,1
0,-1,1,1,0,0,1,-1,-1,tem_jogo,2
1,-1,0,0,0,1,-1,0,0,tem_jogo,2
-1,0,1,0,1,-1,1,-1,1,x_venceu,3
-1,1,0,-1,1,0,0,-1,1,tem_jogo,2
1,-1,1,1,0,1,-1,0,-1,tem_jogo,2
-1,1,1,-1,0,0,-1,0,1,o_venceu,1
-1,1,-1,-1,-1,1,1,1,1,x_venceu,3
-1,1,1,0,-1,1,-1,1,-1,o_venceu,1
1,0,-1,1,-1,1,1,-1,0,x_venceu,3
1,-1,-1,-1,1,0,1,0,1,x_venceu,3
-1,-1,1,1,-1,0,1,1,-1,o_venceu,1
1,-1,1,1,-1,0,1,0,-1,x_venceu,3
1,1,-1,-1,-1,-1,1,0,1,o_venceu,1
0,-1,1,0,0,-1,0,0,1,tem_jogo,2
0,0,0,-1,0,0,0,0,1,tem_jogo,2
0,-1,1,1,-1,1,0,-1,0,o_venceu,1
0,-1,-1,0,1,1,0,0,1,tem_jogo,2
-1,1,1,0,1,1,-1,-1,-1,o_venceu,1
0,1,0,-1,-1,-1,1,0,1,o_venceu,1
-1,1,0,0,0,0,0,0,0,tem_jogo,2
1,-1,0,0,0,0,0,1,0,tem_jogo,2
0,1,-1,0,0,0,1,0,0,tem_jogo,2
0,1,0,1,-1,1,0,0,-1,tem_jogo,2
-1,1,1,0,-1,-1,1,1,-1,o_venceu,1
0,1,-1,-1,1,0,0,1,0,x_venceu,3
0,0,0,-1,0,0,0,1,0,tem_jogo,2
1,1,1,1,-1,-1,-1,-1,1,x_venceu,3
1,0,0,-1,0,0,0,1,0,tem_jogo,2
0,0,-1,1,1,1,0,-1,0,x_venceu,3
1,-1,0,0,1,-1,-1,1,1,x_venceu,3
1,0,0,1,-1,0,1,-1,0,x_venceu,3
-1,1,0,0,-1,1,0,1,-1,o_venceu,1
-1,1,1,1,-1,1,0,-1,-1,o_venceu,1
-1,1,-1,1,1,-1,1,-1,1,empate,0
1,0,1,-1,0,1,-1,-1,1,x_venceu,3
0,1,1,-1,1,-1,-1,1,0,x_venceu,3
0,1,1,-1,0,0,0,0,0,tem_jogo,2
1,1,-1,0,0,-1,0,1,-1,o_venceu,1
-1,0,1,-1,1,0,-1,0,1,o_venceu,1
0,0,0,1,-1,1,1,-1,-1,tem_jogo,2
1,1,-1,-1,1,-1,1,-1,1,x_venceu,3
1,0,-1,-1,-1,0,1,0,1,tem_jogo,2
-1,0,1,0,-1,1,0,1,-1,o_venceu,1
-1,1,-1,0,1,0,1,0,0,tem_jogo,2
0,1,-1,-1,1,-1,1,1,0,x_venceu,3
0,-1,0,0,0,1,0,0,1,tem_jogo,2
1,0,-1,1,-1,-1,-1,1,1,o_venceu,1
-1,0,1,-1,0,0,-1,1,1,o_venceu,1
1,0,1,0,0,1,-1,-1,-1,o_venceu,1
1,1,1,1,0,-1,-1,-1,0,x_venceu,3
1,-1,1,0,0,0,0,0,0,tem_jogo,2
0,-1,1,0,-1,-1,1,1,1,x_venceu,3
1,-1,0,1,-1,0,0,-1,1,o_venceu,1
1,1,1,0,-1,0,-1,0,0,x_venceu,3
1,1,1,-1,0,-1,-1,1,0,x_venceu,3
0,0,0,1,0,0,0,-1,1,tem_jogo,2
1,-1,1,1,0,-1,1,-1,0,x_venceu,3
-1,-1,1,-1,1,1,1,1,-1,x_venceu,3
1,-1,-1,1,-1,1,1,1,-1,x_venceu,3
0,1,0,-1,0,0,0,0,0,tem_jogo,2
1,-1,1,1,-1,1,-1,1,-1,empate,0
0,1,-1,1,-1,1,-1,-1,1,o_venceu,1
1,1,-1,-1,-1,1,1,1,-1,empate,0
1,0,1,1,1,-1,-1,-1,-1,o_venceu,1
0,0,-1,1,1,1,-1,1,-1,x_venceu,3
1,0,1,-1,-1,-1,1,1,-1,o_venceu,1
0,1,-1,0,-1,1,-1,0,1,o_venceu,1
0,1,-1,0,1,1,0,-1,0,tem_jogo,2
-1,-1,-1,0,1,1,0,1,0,o_venceu,1
1,1,-1,1,-1,0,-1,0,0,o_venceu,1
1,1,-1,-1,0,0,1,0,0,tem_jogo,2
-1,1,1,0,-1,1,0,0,-1,o_venceu,1
-1,1,1,1,-1,0,-1,1,-1,o_venceu,1
1,1,1,1,0,-1,-1,0,-1,x_venceu,3
0,0,0,-1,-1,1,1,1,-1,tem_jogo,2
-1,-1,1,-1,1,1,1,0,0,x_venceu,3
-1,1,1,-1,-1,-1,1,0,1,o_venceu,1
1,0,-1,0,0,0,0,0,1,tem_jogo,2
0,0,1,-1,1,1,-1,-1,1,x_venceu,3
1,-1,0,0,-1,0,0,1,0,tem_jogo,2
1,1,1,0,-1,0,0,0,-1,x_venceu,3
1,-1,1,0,-1,1,0,-1,0,o_venceu,1
0,1,1,-1,-1,-1,1,-1,1,o_venceu,1
1,1,1,0,0,-1,0,-1,0,x_venceu,3
-1,-1,1,1,1,0,1,-1,0,x_venceu,3
-1,-1,0,-1,1,0,1,1,0,tem_jogo,2
1,0,-1,-1,1,0,0,0,0,tem_jogo,2
1,1,-1,1,0,-1,1,-1,0,x_venceu,3
1,-1,-1,0,1,1,1,0,-1,tem_jogo,2
0,-1,0,1,-1,0,1,-1,1,o_venceu,1
-1,0,0,1,-1,-1,1,1,1,x_venceu,3
0,-1,1,0,-1,1,0,0,1,x_venceu,3
1,0,-1,1,-1,1,-1,-1,1,o_venceu,1
-1,1,0,0,1,0,0,0,0,tem_jogo,2
1,0,-1,1,0,0,-1,1,-1,tem_jogo,2
-1,1,-1,1,0,0,-1,0,1,tem_jogo,2
0,0,0,0,0,0,0,0,1,tem_jogo,2
1,0,-1,0,1,0,-1,0,1,x_venceu,3
0,1,-1,0,1,-1,1,0,-1,o_venceu,1
0,0,0,0,1,-1,0,0,0,tem_jogo,2
